regional_master,date_field,sales
50000575,2018-08-05,9505.79
50000575,2018-08-12,9840.52
50000575,2018-08-19,11522.74
50000575,2018-08-26,12708.16
50000575,2018-09-02,10276.92
50000575,2018-09-09,13065.440000000071
50000575,2018-09-16,9014.51
50000575,2018-09-23,9283.18
50000575,2018-09-30,10040.469999999998
50000575,2018-10-07,13755.11
50000575,2018-10-14,8040.34
50000575,2018-10-21,9601.22
50000575,2018-10-28,7112.530000000001
50000575,2018-11-04,6535.95
50000575,2018-11-11,7816.930000000002
50000575,2018-11-18,9634.770000000002
50000575,2018-11-25,9670.22
50000575,2018-12-02,10323.919999999998
50000575,2018-12-09,11715.079999999996
50000575,2018-12-16,15763.669999999998
50000575,2018-12-23,11706.760000000004
50000575,2018-12-30,3.430000000000037
50000575,2019-01-13,14136.349999999986
50000575,2019-01-20,14632.000000000002
50000575,2019-01-27,15180.99000000001
50000575,2019-02-03,14096.839999999998
50000575,2019-02-10,11747.690000000006
50000575,2019-02-17,13965.09
50000575,2019-02-24,15004.219999999998
50000575,2019-03-03,15293.059999999994
50000575,2019-03-10,17264.80999999999
50000575,2019-03-17,13000.309999999998
50000575,2019-03-24,11695.559999999994
50000575,2019-03-31,12792.82000000008
50000575,2019-04-07,15178.64
50000575,2019-04-14,13938.229999999998
50000575,2019-04-21,10707.649999999994
50000575,2019-04-28,8917.980000000009
50000575,2019-05-05,9722.19
50000575,2019-05-12,12117.249999999998
50000575,2019-05-19,14920.829999999998
50000575,2019-05-26,10701.969999999998
50000575,2019-06-02,10447.540000000006
50000575,2019-06-09,8834.470000000003
50000575,2019-06-16,11506.55
50000575,2019-06-23,11518.239999999996
50000575,2019-06-30,10463.890000000009
50000575,2019-07-07,13898.75
50000575,2019-07-14,14819.48
50000575,2019-07-21,17501.519999999993
50000575,2019-07-28,14956.750000000013
50000575,2019-08-04,14050.66999999999
50000575,2019-08-11,11633.079999999994
50000575,2019-08-18,13942.610000000006
